               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.024789,            0.028453,            0.012277,             0.96015,             0.97008,             0.97842,             0.72352,            0.021393,             0.03111,           0.0095598,            0.003004,            0.003004,            0.003004
                  55,            0.025989,            0.026458,            0.012093,             0.96314,              0.9586,             0.97837,             0.71933,            0.023893,            0.032481,           0.0091294,            0.002872,            0.002872,            0.002872
                  56,            0.024425,            0.027483,             0.01189,              0.9553,             0.96504,             0.97832,             0.70079,            0.023184,            0.032015,           0.0091384,             0.00274,             0.00274,             0.00274
                  57,            0.024623,            0.027318,            0.011884,             0.96511,             0.96095,             0.97816,             0.69407,             0.02304,            0.031847,           0.0089148,            0.002608,            0.002608,            0.002608
                  58,            0.024422,            0.027218,            0.011997,             0.97134,             0.97589,             0.97926,             0.73956,            0.022555,             0.03108,           0.0085806,            0.002476,            0.002476,            0.002476
                  59,            0.024096,            0.027659,            0.011741,             0.97447,             0.97358,             0.97945,             0.78121,            0.019269,            0.030186,            0.008461,            0.002344,            0.002344,            0.002344
                  60,            0.022821,             0.02519,            0.011033,              0.9804,             0.96782,              0.9799,             0.76582,            0.019781,            0.031208,            0.008106,            0.002212,            0.002212,            0.002212
                  61,            0.022995,            0.029226,            0.011954,              0.9745,             0.96518,             0.98018,             0.75857,            0.019109,            0.030353,           0.0081341,             0.00208,             0.00208,             0.00208
                  62,            0.022332,            0.026555,            0.010782,             0.97976,             0.97378,             0.97942,             0.79481,             0.01887,            0.030456,           0.0078052,            0.001948,            0.001948,            0.001948
                  63,            0.021029,            0.028612,            0.010954,             0.96676,             0.96518,             0.97872,             0.78225,             0.01871,            0.030067,           0.0079182,            0.001816,            0.001816,            0.001816
                  64,            0.022202,            0.025419,            0.010753,             0.97306,             0.97159,             0.97862,             0.77094,            0.019715,            0.030101,            0.007513,            0.001684,            0.001684,            0.001684
                  65,            0.021309,            0.027272,            0.010112,             0.98194,             0.97646,             0.98022,             0.77148,            0.020135,            0.031301,           0.0072284,            0.001552,            0.001552,            0.001552
                  66,            0.020534,             0.02674,           0.0099682,             0.98315,             0.97492,              0.9807,             0.75637,            0.019617,            0.031515,           0.0071312,             0.00142,             0.00142,             0.00142
                  67,            0.021307,            0.023855,           0.0097878,             0.98418,             0.97395,              0.9808,             0.79494,            0.018402,            0.030091,           0.0068676,            0.001288,            0.001288,            0.001288
                  68,            0.020701,             0.02723,           0.0099115,             0.98564,             0.97401,             0.98076,             0.79758,            0.018022,            0.029632,           0.0068103,            0.001156,            0.001156,            0.001156
                  69,            0.019701,            0.026384,           0.0097029,             0.97555,             0.96984,             0.98104,             0.81374,            0.017584,            0.029332,           0.0069346,            0.001024,            0.001024,            0.001024
                  70,            0.019359,            0.029531,           0.0098033,             0.97914,             0.97052,             0.98079,             0.80339,            0.017487,            0.029345,           0.0067218,            0.000892,            0.000892,            0.000892
                  71,            0.019203,            0.025398,           0.0092198,             0.98327,             0.97515,             0.98049,             0.82565,            0.016413,            0.028876,           0.0065968,             0.00076,             0.00076,             0.00076
                  72,            0.019322,            0.027293,           0.0092543,             0.98403,             0.97592,              0.9797,             0.82507,            0.016578,            0.029209,           0.0064297,            0.000628,            0.000628,            0.000628
                  73,            0.019354,            0.028628,           0.0092451,             0.98392,             0.97581,             0.98011,             0.81512,            0.016908,              0.0295,           0.0064257,            0.000496,            0.000496,            0.000496
                  74,            0.018641,            0.025231,           0.0093994,             0.98322,             0.97597,             0.98075,             0.82333,            0.016376,            0.028775,           0.0063833,            0.000364,            0.000364,            0.000364
